,Username,DOB,State,vader_sentiments,customer sentiments(%),vader sentiments(%),clean text,transformer sentiments,transformer sentiments(%),code,latitude,longitude
0,fsdv4141,1980-07-31,American Samoa,POSITIVE,33.33,95.46,you never have to worry about the fit  alfred dunner clothing sizes are true to size and fits perfectly  great value for the money ,POSITIVE,99.99,AS,-14.275632,-170.702042
1,krpz1113,1987-07-30,Virginia,POSITIVE,16.67,84.08,good quality fabric  perfect fit  washed very well no iron ,POSITIVE,99.42,VA,37.431573,-78.656894
2,mbmg3241,1951-08-08,Northern Mariana Islands,POSITIVE,33.33,94.92,i do not normally wear pants or capris that have an elastic waist  but i decided to try these since they were on sale and i loved the color  i was very surprised at how comfortable they are and wear really well even wearing all day  i will buy this style again ,POSITIVE,99.96,MP,15.19,145.75
3,zeqg1222,1994-07-28,Connecticut,POSITIVE,0.0,92.92,i love these capris  they fit true to size and are so comfortable to wear  i am planning to order more of them ,POSITIVE,99.96,CT,41.603221,-73.087749
4,nvfn3212,1980-07-31,Oklahoma,POSITIVE,50.0,55.63,this product is very comfortable and the fabric launders very wel,POSITIVE,99.91,OK,35.007752,-97.092877
5,aajh3423,1958-08-06,Vermont,NEGATIVE,33.33,-49.73,i did not like the fabric  it is 100  polyester i thought it was differenti bought one at the store apprx two monts ago  and i thought it was just like it,POSITIVE,85.04,VT,44.558803,-72.577841
6,usvp2142,1976-08-01,Minor Outlying Islands,POSITIVE,16.67,84.02,what a great deal  beautiful pants  its more than i expected ,POSITIVE,99.98,MO,28.2075,-177.35
7,yemw3321,1991-07-29,Tennessee,POSITIVE,16.67,90.61,alfred dunner has great pants  good fit and very comfort,POSITIVE,99.99,TN,35.517491,-86.580447
8,tpcu2211,1975-08-02,Florida,POSITIVE,50.0,95.46,you never have to worry about the fit  alfred dunner clothing sizes are true to size and fits perfectly  great value for the money ,POSITIVE,99.99,FL,27.664827,-81.515754
9,vutl2421,1952-08-07,Arkansas,POSITIVE,33.33,84.08,good quality fabric  perfect fit  washed very well no iron ,POSITIVE,99.42,AR,35.20105,-91.831833
10,ixlo1324,1976-08-01,Guam,POSITIVE,0.0,94.92,i do not normally wear pants or capris that have an elastic waist  but i decided to try these since they were on sale and i loved the color  i was very surprised at how comfortable they are and wear really well even wearing all day  i will buy this style again ,POSITIVE,99.96,GU,13.444304,144.793732
11,dued2313,1967-08-04,Idaho,POSITIVE,33.33,92.92,i love these capris  they fit true to size and are so comfortable to wear  i am planning to order more of them ,POSITIVE,99.96,ID,44.068202,-114.742041
12,nkmn4113,1954-08-07,Idaho,POSITIVE,16.67,55.63,this product is very comfortable and the fabric launders very wel,POSITIVE,99.91,ID,44.068202,-114.742041
13,tyfr4414,1974-08-02,Ohio,NEGATIVE,66.67,-49.73,i did not like the fabric  it is 100  polyester i thought it was differenti bought one at the store apprx two monts ago  and i thought it was just like it,POSITIVE,85.04,OH,40.417287,-82.907123
14,hyhy1222,1987-07-30,Wisconsin,POSITIVE,50.0,84.02,what a great deal  beautiful pants  its more than i expected ,POSITIVE,99.98,WI,43.78444,-88.787868
